target_pos.x,target_pos.y,target_pos.z,human_pos.x,human_pos.y,human_pos.z,human_rot.x,human_rot.y,human_rot.z,human_height,Reference/Hips/m_LocalRotation.x,Reference/Hips/m_LocalRotation.y,Reference/Hips/m_LocalRotation.z,Reference/Hips/LeftUpLeg/m_LocalRotation.x,Reference/Hips/LeftUpLeg/m_LocalRotation.y,Reference/Hips/LeftUpLeg/m_LocalRotation.z,Reference/Hips/LeftUpLeg/LeftLeg/m_LocalRotation.x,Reference/Hips/LeftUpLeg/LeftLeg/m_LocalRotation.y,Reference/Hips/LeftUpLeg/LeftLeg/m_LocalRotation.z,Reference/Hips/LeftUpLeg/LeftLeg/LeftFoot/m_LocalRotation.x,Reference/Hips/LeftUpLeg/LeftLeg/LeftFoot/m_LocalRotation.y,Reference/Hips/LeftUpLeg/LeftLeg/LeftFoot/m_LocalRotation.z,Reference/Hips/RightUpLeg/m_LocalRotation.x,Reference/Hips/RightUpLeg/m_LocalRotation.y,Reference/Hips/RightUpLeg/m_LocalRotation.z,Reference/Hips/RightUpLeg/RightLeg/m_LocalRotation.x,Reference/Hips/RightUpLeg/RightLeg/m_LocalRotation.y,Reference/Hips/RightUpLeg/RightLeg/m_LocalRotation.z,Reference/Hips/RightUpLeg/RightLeg/RightFoot/m_LocalRotation.x,Reference/Hips/RightUpLeg/RightLeg/RightFoot/m_LocalRotation.y,Reference/Hips/RightUpLeg/RightLeg/RightFoot/m_LocalRotation.z,Reference/Hips/Spine/m_LocalRotation.x,Reference/Hips/Spine/m_LocalRotation.y,Reference/Hips/Spine/m_LocalRotation.z,Reference/Hips/Spine/Chest/LeftShoulder/m_LocalRotation.x,Reference/Hips/Spine/Chest/LeftShoulder/m_LocalRotation.y,Reference/Hips/Spine/Chest/LeftShoulder/m_LocalRotation.z,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/m_LocalRotation.x,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/m_LocalRotation.y,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/m_LocalRotation.z,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/m_LocalRotation.x,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/m_LocalRotation.y,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/m_LocalRotation.z,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/LeftHand/m_LocalRotation.x,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/LeftHand/m_LocalRotation.y,Reference/Hips/Spine/Chest/LeftShoulder/LeftArm/LeftForeArm/LeftHand/m_LocalRotation.z,Reference/Hips/Spine/Chest/Neck/m_LocalRotation.x,Reference/Hips/Spine/Chest/Neck/m_LocalRotation.y,Reference/Hips/Spine/Chest/Neck/m_LocalRotation.z,Reference/Hips/Spine/Chest/RightShoulder/m_LocalRotation.x,Reference/Hips/Spine/Chest/RightShoulder/m_LocalRotation.y,Reference/Hips/Spine/Chest/RightShoulder/m_LocalRotation.z,Reference/Hips/Spine/Chest/RightShoulder/RightArm/m_LocalRotation.x,Reference/Hips/Spine/Chest/RightShoulder/RightArm/m_LocalRotation.y,Reference/Hips/Spine/Chest/RightShoulder/RightArm/m_LocalRotation.z,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/m_LocalRotation.x,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/m_LocalRotation.y,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/m_LocalRotation.z,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/RightHand/m_LocalRotation.x,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/RightHand/m_LocalRotation.y,Reference/Hips/Spine/Chest/RightShoulder/RightArm/RightForeArm/RightHand/m_LocalRotation.z,Reference/Hips/m_LocalPosition.x,Reference/Hips/m_LocalPosition.y,Reference/Hips/m_LocalPosition.z
-4,2,-1.7,0,0,1.25,0,0.5,0,1.76,0.9800689,0.03723686,0.001074231,0.01096377,0.001138026,0.9864339,0.06594369,0.9704397,0.9832376,0.9895706,0.9606283,0.04500561,0.006597514,0.9945989,0.9978247,0.07194093,0.9971489,0.00235103,0.9981627,0.007301565,0.01017754,0.005958986,0.000584074,0.9998971,0.997245,0.9952039,0.1152242,0.0615648,0.01574438,0.1071213,0.01324198,0.0890426,0.999376,0.009233144,0.01612226,0.01568459,0.01811219,0.9999765,0.9990202,0.002670485,0.5034609,0.1087613,0.00152903,0.4054461,0.9691393,0.9488835,0.6942943,0.9994261,0.9634257,0.9061747,0.07726239,0.002200501,0.9759143,-0.0191889
-4,2,-1.7,0,0,1.25,0,0.5,0,1.88,0.9938449,0.06043502,0.0164023,0.003404996,0.967141,0.9692268,0.04678982,0.04680906,0.02341391,0.9939507,0.06111935,0.00258542,0.01522548,0.01009906,0.9996744,0.02235296,0.005988002,0.9986846,0.001101953,0.00247388,0.9946886,0.004914444,0.9998109,0.001546728,0.995468,0.004706156,0.115071,0.05214231,0.01217841,0.06028513,0.001969582,0.06945377,0.9999093,0.9960127,0.01798196,0.01386303,0.9988953,0.000527705,0.9395316,0.0040663,0.4977877,0.1151156,0.9995693,0.3505588,0.000551364,0.9350666,0.8439135,0.001262032,0.9619046,0.9101003,0.07286276,0.008522153,0.9767453,-0.03378618
-4,2,-1.7,0,0,1.25,0,0.5,0,1.72,0.9968364,0.004573109,0.01149675,0.000850683,0.9957455,0.999676,0.0379107,0.004500058,0.002295421,0.000261221,0.002446457,0.9881083,0.998793,0.01497484,0.006741828,0.04016228,0.9849014,0.9920714,0.998264,0.9787698,0.9900167,0.005110662,0.9996105,0.000109956,0.996114,0.001245474,0.1151391,0.03980774,0.02272622,0.1185178,0.05811052,0.04395799,0.9922997,0.07337575,0.02084153,0.01004145,0.01812644,0.9987028,0.9889699,0.003848615,0.4989528,0.1151366,0.9866576,0.3872018,0.9735113,0.9523072,0.704286,0.01128891,0.9682804,0.8961358,0.07806981,-0.003583685,0.9785001,-0.03622925
-4,2,-1.7,0,0,1.25,0,0.5,0,1.78,0.9831613,0.01492691,0.004070998,0.01665792,0.001282688,0.003362925,0.009146735,0.00872926,0.001697177,0.000675482,0.001524021,0.9908856,0.01005646,0.002500077,0.9948239,0.009601514,0.003098797,0.9988558,0.9997061,0.005569797,0.002884121,0.005964173,0.00032669,0.9981232,0.9974524,0.9940977,0.1152351,0.04273205,0.9799663,0.108923,0.07005495,0.08444527,0.9765198,0.08011062,0.116098,0.04827143,0.0322577,0.9981781,0.975207,0.002723581,0.5049621,0.1152201,0.9826469,0.3671772,0.9736186,0.08025057,0.7055692,0.01411719,0.05850672,0.07511982,0.006878036,-0.004281755,0.9775543,-0.02693072
-4,2,-1.7,0,0,1.25,0,0.5,0,1.66,0.9848532,0.09606818,0.02484448,0.000657019,0.9611583,0.9600322,0.04789727,0.06152563,0.03116481,0.9917797,0.07823772,0.000633528,0.008110412,0.9826132,0.972394,0.02973656,0.03689554,0.01018452,0.9959556,0.05131759,0.005540432,0.005303631,0.9992322,0.003619841,0.9924769,0.02088249,0.1145675,0.0607747,0.9993191,0.07124081,0.0965749,0.08970298,0.001004674,0.08322625,0.08156513,0.02958703,0.04543049,0.9867566,0.9227431,0.006822964,0.4829291,0.1147075,0.0241644,0.3803464,0.06959692,0.9386815,0.7916934,0.9880247,0.9573752,0.9091704,0.07132713,0.01788249,0.9753668,-0.04384335
-4,2,-1.7,0,0,1.25,0,0.5,0,1.7,0.9819829,0.05870816,0.02199473,0.01976441,0.9987443,0.9700315,0.01636644,0.000774645,0.005875885,0.9978526,0.05182784,0.00553623,0.0181785,0.9990273,0.006228705,0.0356488,0.9950045,0.9840782,0.9992548,0.04532268,0.9978632,0.006116025,0.9997898,0.001951534,0.005033803,0.977739,0.107717,0.007066141,0.01288914,0.9819745,0.01618927,0.2508978,0.2076893,0.9704205,0.06377482,0.9808699,0.0463943,0.9890743,0.9349502,0.9821671,0.5177981,0.1059287,0.07035973,0.3649439,0.0209481,0.008266372,0.7523342,0.1454913,0.1870249,0.9619494,0.932373,0.01262265,0.9666095,-0.02875162
-4,2,-1.7,0,0,1.25,0,0.5,0,1.61,0.98408,0.09600226,0.01605852,0.009431619,0.9550924,0.9650652,0.06054621,0.06877542,0.04515526,0.9921407,0.08856539,0.9951655,0.002475973,0.9818328,0.9965152,0.0589878,0.03601986,0.02268897,0.004840384,0.0548176,0.9919202,0.004615373,0.9989869,0.003892112,0.994696,0.008854021,0.1149709,0.038283,0.9914713,0.07942893,0.07013045,0.07550803,0.9856668,0.08316751,0.06540422,0.02592771,0.007651056,0.000181823,0.9536287,0.004706689,0.4912182,0.1086078,0.001077132,0.295532,0.005772605,0.07383467,0.7344577,0.9944779,0.05405356,0.08514118,0.0299503,0.01350552,0.9715518,-0.03113876
-4,2,-1.7,0,0,1.25,0,0.5,0,1.6,0.9914669,0.07759662,0.02229376,0.01156655,0.9735218,0.9815547,0.03238198,0.04077668,0.01505808,0.000223935,0.05365667,0.99438,0.003917725,0.008310626,0.996107,0.04631728,0.01305837,0.001387971,8.44E-05,0.009454328,0.9980819,0.005929647,0.9993931,0.003264281,0.9977503,0.9925098,0.1152483,0.05608442,0.02427607,0.07884236,0.01866844,0.3151054,0.008626758,0.997359,0.1070225,0.05804057,0.9875894,0.002407731,0.9719559,0.001886941,0.5094216,0.1152545,0.007502092,0.2906759,0.009962009,0.9229578,0.8442383,0.9896914,0.9474614,0.8814408,0.06122913,0.006219838,0.9708973,-0.03826622
-4,2,-1.7,0,0,1.25,0,0.5,0,1.83,0.9978429,0.04453496,0.01929634,0.9901346,0.9815284,0.9750496,0.1103594,0.05538508,0.04362612,0.9979517,0.04695569,0.9879867,0.9919275,0.9973943,0.9969707,0.08977479,0.01060007,0.0085309,0.002270763,0.01502031,0.9951143,0.001782027,0.9985307,0.9997342,0.9970093,0.9964614,0.11521,0.02995937,0.004703212,0.1020283,0.03947929,0.05474579,0.9862162,0.06372046,0.05651719,0.01999968,0.003752305,0.9987237,0.9338937,0.002727699,0.5049402,0.1152198,0.9988655,0.4065647,0.03809065,0.9278247,0.780305,0.01244991,0.9495338,0.9082929,0.07004623,0.002983402,0.972442,-0.02912967
-4,2,-1.7,0,0,1.25,0,0.5,0,1.74,0.9881684,0.06204196,0.02782484,0.007822558,0.9830041,0.9617252,0.0551874,0.04108182,0.01642761,0.9932103,0.03699119,0.01126423,0.004341454,0.01342418,0.9997304,0.04102065,0.005828392,0.9978186,0.00405807,0.9985356,0.9873555,0.006121143,0.9993161,0.001610963,0.9994715,0.9833432,0.1152663,0.1030271,0.007546019,0.06589289,0.9912007,0.1606325,0.04348095,0.9702747,0.9493001,0.03999596,0.02592416,0.9927342,0.9268765,0.000291218,0.5179199,0.1152551,0.004887762,0.3930396,0.9751834,0.9545528,0.6653111,0.991798,0.9626352,0.9219527,0.06772963,0.015707,0.977986,-0.03104474
